prenoms;nombre;sexe;annee
Gabriel;252;M;2004
Gabriella;6;F;2004
Gabrielle;51;F;2004
Gad;6;M;2004
Gaël;18;M;2004
Gaëlle;11;F;2004
Gaetan;9;M;2004
Gaëtan;17;M;2004
Gaïa;11;F;2004
Garance;47;F;2004
Gaspard;100;M;2004
Gaston;11;M;2004
Gauthier;11;M;2004
Gautier;9;M;2004
Geoffrey;7;M;2004
Georges;13;M;2004
Germain;6;M;2004
Gianni;7;M;2004
Giovanni;9;M;2004
Giulia;10;F;2004
Gloria;10;F;2004
Grace;12;F;2004
Grâce;6;F;2004
Gregoire;56;M;2004
Gregory;10;M;2004
Guilhem;7;M;2004
Guillaume;91;M;2004
Guillemette;9;F;2004
Gustave;16;M;2004
Guy;6;M;2004
Gwendoline;8;M;2004
Hadrien;40;M;2004
Hajar;10;F;2004
Hakim;7;M;2004
Halima;6;F;2004
Hamza;23;M;2004
Hana;8;F;2004
Hanna;17;F;2004
Hannah;14;F;2004
Harold;6;M;2004
Harry;6;M;2004
Hasna;6;F;2004
Hawa;15;F;2004
Hector;28;M;2004
Helèna;6;F;2004
Helène;35;F;2004
Heloïse;66;F;2004
Henri;31;M;2004
Henry;6;M;2004
Hermine;8;F;2004
Hippolyte;35;M;2004
Hortense;22;F;2004
Hugo;210;M;2004
Hugues;12;M;2004
Ian;6;M;2004
Iban;6;M;2004
Ibrahim;33;M;2004
Ibrahima;19;M;2004
Idris;6;M;2004
Idriss;13;M;2004
Igor;10;M;2004
Ilan;41;M;2004
Ilana;17;F;2004
Ilian;23;M;2004
Ilias;15;M;2004
Ilies;12;M;2004
Ilona;31;F;2004
Ilyas;8;M;2004
Ilyass;6;M;2004
Ilyes;20;M;2004
Ilyès;10;M;2004
Iman;15;F;2004
Imane;33;F;2004
Imen;10;F;2004
Imène;6;F;2004
Ines;10;F;2004
Ines;29;F;2004
Inès;268;F;2004
Irène;23;F;2004
Irina;10;F;2004
Iris;46;F;2004
Isaac;21;M;2004
Isabelle;15;F;2004
Isaure;19;F;2004
Ismaël;26;M;2004
Issa;23;M;2004
Ivan;17;M;2004
Jacques;14;M;2004
Jad;11;M;2004
Jade;139;F;2004
James;7;M;2004
Jana;8;F;2004
Janna;9;F;2004
Jarod;8;M;2004
Jasmine;20;F;2004
Jason;12;M;2004
Jawad;6;M;2004
Jean;70;M;2004
Jean-Baptiste;23;M;2004
Jean-Marc;7;M;2004
Jeanne;156;F;2004
Jennifer;10;F;2004
Jeremie;21;M;2004
Jeremy;34;M;2004
Jerôme;8;M;2004
Jessica;29;F;2004
Joachim;13;M;2004
Joana;16;F;2004
Joël;8;M;2004
Joey;6;M;2004
Johan;12;M;2004
Johann;8;M;2004
Johanna;11;F;2004
